Brand,Model,Year,Price,Mileage,Exterior Color,Interior Color,Fuel Type,Drivetrain,VIN,Dealer Name,Dealer Zip,Bodystyle,Image Paths
Toyota,Tundra,2016,28995,75800,Super White,Black,Gasoline,Four-wheel Drive,5TFBY5F17GX577169,A Better Way Wholesale,06770,Truck,"['vehicle_images_more\\f13c357d-3763-4edb-91ba-c6fa67a2577f_1.jpg', 'vehicle_images_more\\f13c357d-3763-4edb-91ba-c6fa67a2577f_2.jpg', 'vehicle_images_more\\f13c357d-3763-4edb-91ba-c6fa67a2577f_3.jpg']"
Toyota,4Runner,2015,23995,109900,Attitude Black Metallic,Black/Graphite,Gasoline,Four-wheel Drive,JTEBU5JR3F5209778,A Better Way Wholesale,06770,SUV,"['vehicle_images_more\\18f05ca9-8950-4218-a92f-f1fc654317d0_1.jpg', 'vehicle_images_more\\18f05ca9-8950-4218-a92f-f1fc654317d0_2.jpg', 'vehicle_images_more\\18f05ca9-8950-4218-a92f-f1fc654317d0_3.jpg']"
Toyota,Corolla Hybrid,2020,16994,80899,Blueprint,Gray,Hybrid,Front-wheel Drive,JTDEBRBE5LJ008266,Destination Nissan,12206,Sedan,"['vehicle_images_more\\92cb3ece-7cb5-478c-9678-0d764467a8e8_1.jpg', 'vehicle_images_more\\92cb3ece-7cb5-478c-9678-0d764467a8e8_2.jpg', 'vehicle_images_more\\92cb3ece-7cb5-478c-9678-0d764467a8e8_3.jpg']"
Toyota,Prius,2014,11405,104151,Blizzard Pearl,Gray,Gasoline,Front-wheel Drive,JTDKN3DU5E1811271,Romeo Toyota of Glens Falls,12801,Hatchback,"['vehicle_images_more\\3a42be19-7eb7-4b6b-870b-1db4b8898aa6_1.jpg', 'vehicle_images_more\\3a42be19-7eb7-4b6b-870b-1db4b8898aa6_2.jpg', 'vehicle_images_more\\3a42be19-7eb7-4b6b-870b-1db4b8898aa6_3.jpg']"
Toyota,Camry Hybrid,2018,18200,86742,Wind Chill Pearl,Ash,Hybrid,Front-wheel Drive,4T1B21HK3JU006041,Romeo Toyota of Glens Falls,12801,Sedan,"['vehicle_images_more\\7ef6b548-a603-454a-86c6-5a29fa2844e0_1.jpg', 'vehicle_images_more\\7ef6b548-a603-454a-86c6-5a29fa2844e0_2.jpg', 'vehicle_images_more\\7ef6b548-a603-454a-86c6-5a29fa2844e0_3.jpg']"
Toyota,Prius Plug-in,2013,13276,92549,Classic Silver Metallic,Gray,Hybrid,Front-wheel Drive,JTDKN3DPXD3032056,Steve Lewis Subaru,01035,Hatchback,"['vehicle_images_more\\7c052985-ac32-417d-9488-974fdb076003_1.jpg', 'vehicle_images_more\\7c052985-ac32-417d-9488-974fdb076003_2.jpg', 'vehicle_images_more\\7c052985-ac32-417d-9488-974fdb076003_3.jpg']"
Toyota,Camry,2019,23870,22331,Predawn Gray Mica,Black,Gasoline,Front-wheel Drive,4T1B11HK5KU207363,Curry Honda Chicopee,01020,Sedan,"['vehicle_images_more\\8a9dc9b7-0491-4391-b234-4b78afc48a71_1.jpg', 'vehicle_images_more\\8a9dc9b7-0491-4391-b234-4b78afc48a71_2.jpg', 'vehicle_images_more\\8a9dc9b7-0491-4391-b234-4b78afc48a71_3.jpg']"
Toyota,Highlander Hybrid,2010,8999,187201,Black,,Hybrid,All-wheel Drive,JTEJW3EH1A2039152,Shelby Motor Cars,01109,SUV,"['vehicle_images_more\\1edd65e6-dc52-4fcd-9352-ac4b8cd2d657_1.jpg', 'vehicle_images_more\\1edd65e6-dc52-4fcd-9352-ac4b8cd2d657_2.jpg', 'vehicle_images_more\\1edd65e6-dc52-4fcd-9352-ac4b8cd2d657_3.jpg']"
Toyota,C-HR,2020,19375,37359,Silver Knockout Metallic,Black,Gasoline,Front-wheel Drive,NMTKHMBX3LR117168,Lia Toyota of Wilbraham,01095,SUV,"['vehicle_images_more\\879c35ae-8197-408b-879c-4ea3964da58b_1.jpg', 'vehicle_images_more\\879c35ae-8197-408b-879c-4ea3964da58b_2.jpg', 'vehicle_images_more\\879c35ae-8197-408b-879c-4ea3964da58b_3.jpg']"
Toyota,Yaris,2011,8998,124963,Silver Streak Mica,Dark Grey,Gasoline,Front-wheel Drive,JTDBT9K3XBL009933,Gale Toyota,06082,Sedan,"['vehicle_images_more\\0f1f9985-0779-4db2-9338-4f9bc8fdb462_1.jpg', 'vehicle_images_more\\0f1f9985-0779-4db2-9338-4f9bc8fdb462_2.jpg', 'vehicle_images_more\\0f1f9985-0779-4db2-9338-4f9bc8fdb462_3.jpg']"
